idx,delta,thinkingTime,rot
250,3.328209,0.0199585,11.93609
251,0.1553743,2.040039,9.312256
252,0.4150084,0.8999634,10.00837
253,0.2720314,3.039978,12.12812
254,0.1625953,2.02002,7.288479
255,1.836176,0.02001953,8.614066
256,0.3310837,0.7799683,13.59634
257,0.3600941,3.080017,10.7768
258,0.03409028,2.5,5.602275
259,0.08770216,2.47998,14.82413
260,0.1647952,1.340027,6.098181
261,0.2120301,0.7200317,11.66019
262,0.4639052,1.219971,7.53212
263,0.1427959,3.23999,10.87219
264,0.7174115,0.03997803,5.203085
265,0.1539791,1.519958,14.52882
266,0.1183137,2.839966,12.72943
267,0.3773184,1.23999,7.476777
268,0.04481006,1.440002,7.617384
269,0.02303064,0.7399902,6.932186
270,0.1854151,2.839966,11.68894
271,0.1866096,1.140015,9.394158
272,0.07346958,0.7199707,9.849867
273,0.3696891,1.080017,12.4372
274,0.0002501924,3.039978,6.096481
275,0.006260872,2.360046,7.925091
276,0.05889606,2.859985,13.26818
277,0.4514081,1.539978,12.69869
278,0.1890109,2.679993,9.812072
279,0.1809382,3,7.38436
280,0.3036063,2.279968,12.67066
281,0.3549674,1.700012,14.60094
282,0.02897181,2.579956,6.254269
283,0.1599539,2.799988,8.693169
284,0.1910076,0.9400024,7.316266
285,0.4153714,0.04003906,8.89644
286,0.3017168,0.09997559,12.75304
287,0.3224802,1.540039,8.945478
288,0.2609966,2.719971,13.24917
289,0.05794877,1.380005,6.937325
290,0.08066857,0.3999634,9.954137
291,0.02840787,2.759949,13.21583
292,0.5467845,1.179993,6.797921
293,0.1241536,1.200012,6.899663
294,0.1624861,0.8000488,9.280988
295,0.03881902,2.619995,10.31118
296,0.327476,1.419983,10.76046
297,0.1049654,0.6999512,7.594437
298,0.4218556,1.100037,11.32953
299,0.5727602,0.03997803,7.14722
300,0.2948003,2.099976,13.21798
301,0.005939245,1.440002,6.672728
302,0.3565946,0.1000366,13.11081
303,0.1367474,1.559998,5.362615
304,0.8776313,0.05999756,14.52348
305,0.4218085,2.180054,14.04023
306,0.3439891,2.559998,13.95873
307,0.1005297,1.320007,14.10993
308,0.8780866,0.02001953,13.80297
309,0.7815517,0.04003906,13.39003
310,0.1434786,2.23999,14.37282
311,0.2535818,2.059998,11.52294
312,0.4611171,2.099976,14.95232
313,0.05665475,2.619995,6.350074
314,0.1091532,3.040039,14.10102
315,0.3049408,1.059998,11.2671
316,0.109721,0.8600464,5.522253
317,0.07913345,1.340027,8.400442
318,0.2396137,2.780029,12.97962
319,0.09982473,2.880005,8.34034
320,0.4294254,0.9400024,9.756195
321,0.294708,0.8600464,11.5146
322,0.2587194,1.040039,11.31554
323,0.04152793,1.340027,5.193975
324,0.1626126,0.7600098,10.19458
325,0.3139113,1.380005,13.56602
326,0.1324312,0.3999634,12.56846
327,0.396659,1.599976,14.67802
328,0.06634712,0.6199951,6.089877
329,0.0154022,0.9799805,5.384691
330,0.04264116,11.53998,5.419393
331,0.3075119,3.26001,9.449552
332,0.1135374,2.559998,13.87472
333,0.1997448,3.280029,9.519423
334,0.1938555,1.099976,12.58684
335,1.754878,0.0199585,10.0366
336,0.09919786,1.140015,7.023256
337,0.245963,3.539978,5.134604
338,0.3969942,0.8800049,14.3399
339,0.2925362,2.73999,14.1793
340,0.1630325,1.299988,8.844658
341,0.2271442,0.6600342,11.50496
342,0.2746038,2.419983,14.29068
343,0.3261524,1.440002,14.4763
344,0.2173449,2.880005,11.77742
345,0.1181595,2.719971,9.631842
346,0.1700876,2.679993,9.711496
347,0.2698201,2.839966,8.572429
348,0.2640471,1.040039,11.07579
349,0.1522267,2.840027,12.1566
350,0.3150156,1.419983,11.51644
351,0.07642531,0.4400024,11.27383
352,0.4172936,1.419983,10.34202
353,0.1600256,0.7399902,14.15851
354,0.1525956,1.460022,8.524083
355,0.1900514,2.839966,11.80361
356,0.1725168,0.9000244,7.148674
357,0.06091595,0.7999878,12.32379
358,0.4738078,1.179993,12.20364
359,0.3264068,3.02002,14.1976
360,0.2594675,2.780029,11.36077
361,0.1963774,3,9.720084
362,0.2303002,2.380005,6.045783
363,0.2416813,1.119995,11.49555
364,0.1360297,2.700012,13.99762
365,0.1603778,3.079956,7.65368
366,0.07855368,4.080017,7.177723
367,0.2744685,3.380005,6.20759
368,0.06789708,2.659973,7.499381
369,0.1414753,2.900024,8.353771
370,0.2634764,1.160034,10.78517
371,0.1411897,2.47998,11.21953
372,0.09456575,2.779968,12.04619
373,0.3463459,1.559998,13.63463
374,0.2789947,2.619995,13.41406
375,0.1383512,2.379944,14.80333
376,0.1414095,2.679932,14.45097
377,0.01535432,5,6.573138
378,0.126742,2.960083,14.92835
379,0.1655194,2.740112,13.16311
380,0.4058011,0.8800049,10.06896
381,0.2569705,3.080078,13.77149
382,0.1339535,2.640015,13.11603
383,0.3129571,2.639893,11.86353
384,0.3751835,1.599976,13.0294
385,0.09478664,2.680054,7.833811
386,0.06357929,2.640015,7.396454
387,0.1018395,2.639893,9.714443
388,0.3118938,1.699951,11.59184
389,0.1646627,0.2199707,6.407811
390,0.2791106,1.199951,10.59065
391,0.2272319,2.799927,12.21692
392,2.315707,0.01989746,10.01255
393,0.09218383,1.860107,7.312306
394,0.3588531,1.319946,9.190681
395,0.06845316,2.640015,8.664326
396,0.1661311,3.959961,5.121646
397,0.05644321,1.200073,12.37643
398,0.3773757,1.380005,12.6121
399,0.2297873,2.959961,11.51293
400,0.1788593,2.640015,10.81378
401,0.1369784,3.040039,6.375989
402,0.4769693,0.8800049,10.18493
403,0.2796111,2.680054,11.37048
404,0.08289152,2.540039,12.49252
405,0.1316563,3.099976,5.121368
406,0.3668919,1.199951,10.10587
407,0.02259636,2.959961,5.556528
408,0.2395598,2.619995,14.04947
409,0.1182902,2.719971,14.5139
410,0.5111671,1.26001,8.298869
411,0.3907722,0.5400391,14.22602
412,0.09389538,1.339966,7.614232
413,0.01146162,1.140015,9.536167
414,0.2843546,0.9599609,6.671549
415,0.07505715,0.8199463,6.164513
416,2.319415,0.03991699,12.88859
417,0.1310174,3.97998,8.530277
418,0.2382515,0.9599609,10.39295
419,0.3627042,1.23999,11.63272
420,0.05480886,0.6199951,7.883142
421,0.1569858,2.800049,13.59935
422,0.4633617,1.060059,9.146615
423,0.03806043,0.7399902,12.40768
424,0.3008778,1.339966,13.18725
425,0.04713202,1.199951,10.53247
426,0.2823182,0.9000244,10.7587
427,0.1765422,2.52002,11.16222
428,0.3874874,1.299927,8.552052
429,0.1775899,2.900024,9.704367
430,0.1555083,2.719971,9.405087
431,0.1766443,2.619995,13.21228
432,0.5169565,1.320068,7.837938
433,0.1179854,0.6999512,11.10917
434,0.03414905,1.23999,5.838318
435,0.01526564,1.5,5.860839
436,0.1778928,0.4199219,5.396903
437,0.0692451,2.76001,9.339597
438,0.008802194,4.719971,5.994977
439,0.09318721,2.800049,9.313042
440,0.03954291,2.539917,13.79035
441,0.3896416,1.800049,12.66109
442,0.06890464,2.719971,9.864751
443,0.2574555,2.680054,6.070391
444,0.07328928,2.5,10.92034
445,0.4061546,1.319946,13.04231
446,0.04057276,2.560059,8.000893
447,0.1664751,3,6.242162
448,0.02171469,2.399902,11.57988
449,0.3617162,1.76001,12.51024
450,0.09510845,0.3399658,6.85974
451,0.3390563,1.059937,11.6936
452,0.1302851,3,6.580284
453,0.1351292,2.76001,12.65064
454,0.3843794,1.359985,10.66438
455,0.2167678,2.400024,11.30018
456,0.1997316,3,7.513167
457,0.2282614,2.52002,11.10718
458,0.3609126,1.240112,12.22416
459,0.1521184,1.439941,5.936766
460,0.1980978,0.6600342,10.43696
461,0.3548334,3.079956,11.03
462,0.3193854,2.300049,12.44328
463,0.3061833,1.52002,13.02266
464,0.00707072,2.920044,6.903236
465,0.1114614,6.52002,8.532207
466,0.3944355,0.7399902,8.463683
467,0.1909927,2.700073,12.02285
468,0.1432203,2.73999,10.67489
469,0.08808118,2.640015,10.79653
470,0.4516695,1.660034,8.471698
471,0.3778453,2.52002,14.03346
472,2.068933,0.01989746,7.287333
473,0.8281078,0.03991699,5.149943
474,0.256253,1.23999,6.684731
475,0.1931288,1.02002,9.798578
476,0.01940954,0.460083,7.841922
477,0.03867614,4.700073,5.03916
478,0.1701574,3.060059,8.668528
479,0.1330654,1.400024,9.793175
480,1.674084,0.04003906,12.68161
481,0.3769034,1.73999,12.4482
482,0.1162295,2.679932,8.608287
483,0.2319331,2.779907,10.83624
484,0.1487253,2.459961,11.2764
485,0.287504,1.319946,13.66713
486,0.1913316,3.059937,12.80316
487,0.1438129,2.47998,9.620033
488,0.1949133,0.9400635,6.208258
489,0.2794844,0.04003906,10.36231
490,0.09276742,0.4200439,9.428627
491,0.3480713,1.319946,14.84175
492,0.3176046,2.559937,13.89545
493,0.2429075,2.919922,14.16712
494,0.1186607,0.8599854,5.820172
