idx,delta,thinkingTime,rot
234,0.08020329,8.220032,14.19238
235,2.184612,0.7600098,10.87887
236,1.598771,1.119995,9.679898
237,1.804813,3.600037,11.08412
238,0.4389031,0.02001953,5.303063
239,0.96622,3.73999,7.263761
240,0.4390173,0.09997559,5.127838
241,0.9345683,0.9400024,12.48329
242,1.426184,0.6199951,13.16528
243,0.08454263,6.359985,12.9652
244,0.9253554,0.5599976,11.82162
245,0.1327663,0.02001953,5.563482
246,0.4053586,0.9599609,8.59257
247,0.3756348,4.559998,8.643095
248,0.1054273,2.599976,11.17575
249,2.000273,0.7600098,13.34023
250,0.8932786,1.23999,9.262146
251,0.04975438,4.800049,5.236315
252,0.3444599,2.720032,10.32762
253,0.5247263,0.2200317,6.156981
254,1.014233,0.02001953,9.653337
255,0.7540575,0.8200073,13.17374
256,0.8862221,1.080017,11.82633
257,0.3629929,2.640015,8.216938
258,0.2860815,2.76001,9.917453
259,1.377208,0.5,8.007077
260,1.377208,0.5,8.007077
261,0.7988333,1.340027,11.85628
262,1.508082,9.400024,8.535447
263,0.1931947,1.600037,10.56952
264,1.396203,3.580017,8.494023
265,1.996764,0.02001953,10.19745
266,0.1937824,3.320007,9.628718
267,0.8955702,0.02001953,13.32733
268,0.5128741,1,9.034722
269,2.030164,9.640015,7.351369
270,0.3886764,1,7.100204
271,0.05927563,8.02002,11.29862
272,2.411486,0.9199829,9.04773
273,0.3209179,1.179993,9.470079
274,0.4694359,4.5,8.498988
275,0.9667594,3.980042,7.658435
276,0.1109697,0.0199585,7.420899
277,0.6131231,1.080017,14.27294
278,0.2130072,7.980042,10.5694
279,1.182287,0.4400024,8.703273
280,0.7499933,1.420044,10.3184
281,0.9510866,0.9400024,13.27529
282,0.2655836,3.26001,11.64744
283,1.443419,3.660034,7.253776
284,0.5602821,1.320007,8.367207
285,0.2723337,4.640015,5.671465
286,0.2532117,2.899963,11.03736
287,0.9016796,0.3000488,11.38571
288,0.01001573,1.800049,7.962357
289,1.062802,3.580017,6.32398
290,0.7477944,0,11.49202
291,1.263547,3.599976,6.062632
292,0.1920841,3.279968,10.38291
293,1.215621,0.5800171,6.75663
294,0.08941269,0.02001953,5.433458
295,0.14574,1.160034,13.5978
296,1.457279,3.340027,8.786162
297,0.6376367,0.02001953,6.848783
298,0.1062876,2.640015,13.34173
299,0.5664887,0.4000244,5.222386
300,0.5297338,0.0199585,9.130147
301,1.668047,0.7600098,6.495216
302,1.09568,3.859985,6.749546
303,0.4432553,0.02001953,10.86162
304,0.6008837,3.559998,8.116463
305,0.6450409,0.0199585,10.11246
306,0.04360819,1.059998,6.651902
307,0.2589296,8,9.327276
308,0.9973582,0.3999023,13.5274
309,0.4787683,0.1999512,5.509442
310,0.6897125,0.7399902,7.064797
311,1.026507,3.900024,6.331789
312,0.3642371,0.02001953,5.321133
313,1.927315,0.02001953,7.234768
314,0.4549713,2.860107,14.83936
315,1.100083,0.02001953,12.16918
316,0.4176098,0.960083,9.703201
317,1.101041,0.7399902,14.57407
318,0.2763859,2.940063,5.761979
319,0.8017772,3.97998,8.478205
320,0.804592,0.02001953,12.78842
321,0.7340413,1.019897,12.71555
322,0.4590849,4.640015,10.41158
323,0.5954199,0.01989746,13.62233
324,1.051323,3.099976,6.914957
325,0.9697145,0.01989746,9.326365
326,1.472626,0.7800293,10.46008
327,0.2833585,4.699951,7.774772
328,0.4772834,0.02001953,11.20424
329,0.6923841,3.079956,6.808109
330,1.199475,0.02001953,14.57243
331,0.7941864,0.7600098,11.65044
332,1.048087,0.8399658,12.48411
333,1.65215,1.97998,10.68345
334,0.5875527,0.02001953,5.336184
335,1.144039,3.779907,8.09658
336,0.4332802,0.02001953,10.12901
337,0.8643472,0.7600098,12.47417
338,0.5074362,4.780029,11.25154
339,0.5382745,3.679932,7.221946
340,0.8892914,0.02001953,5.443199
341,1.500805,1.02002,14.15132
342,0.8969148,0.5,12.08107
343,0.2664487,6.52002,14.07389
344,1.251139,0.1599121,13.55785
345,0.2214167,1.780029,10.7933
346,0.5570558,4.700073,11.56386
347,1.041819,3.639893,8.248107
348,0.09285688,1.819946,9.098984
349,1.979502,3.5,13.81903
350,0.4107073,0.03991699,9.379715
351,0.5728846,0.02001953,10.3938
352,0.1984731,1.960083,13.04482
353,0.8496565,0.4000244,5.921151
354,0.8165979,0.02001953,8.377666
355,1.03042,0.9399414,13.12845
356,0.0632419,8,10.70797
357,0.3647835,1.300049,13.89854
358,0.9581991,1.040039,11.61635
359,0.3566132,4.680054,7.514086
360,0.985554,0.02001953,11.05681
361,0.3894945,2.140015,14.40483
362,0.4882705,1,9.032374
363,0.01741958,1.219971,9.443538
364,1.179159,9.180054,7.193264
365,1.179159,9.180054,7.193264
366,1.636909,1.279907,12.25798
367,1.096816,0.6199951,14.51836
368,0.3015817,3.320068,9.531387
369,0.2773834,3.699951,11.39181
370,0.2525342,0.02001953,7.301198
371,0.7443565,1,13.66315
372,0.4618275,3.579956,6.181028
373,0.1643178,3.579956,11.86763
374,2.103377,0.7799072,7.908848
375,0.1092209,1.160034,6.74505
376,0.08105424,4.400024,5.328655
377,0.8810951,0.02001953,6.274535
378,0.7389374,3.320068,5.966164
379,1.357503,0.02001953,11.62856
380,1.027496,0.8000488,14.96235
381,1.265187,0.5800781,13.98979
382,0.3378609,6.699951,14.00841
383,0.2245318,4.059937,13.55017
384,0.7060045,0.4199219,7.314791
385,0.8292364,0.02001953,7.09972
386,0.5008488,1,9.470752
387,0.2547017,8.099976,10.04285
388,0.9758996,0.4200439,13.65701
389,0.1705899,0.02001953,6.000735
390,0.1549011,1.119995,9.362673
391,1.092829,0.6999512,11.4402
392,0.08469504,6.339966,11.62529
393,0.5793179,0.5198975,10.0076
394,0.01270068,1.819946,7.005481
395,1.439092,9.23999,7.434353
396,1.439092,9.23999,7.434353
397,0.7671554,1.459961,13.22206
398,1.427565,9.26001,6.096225
399,0.5921551,1.380005,8.598465
400,1.741273,3.640015,11.88348
401,0.5609364,0.03991699,12.11889
402,0.9249287,0.02001953,6.17609
403,0.1629949,1.859985,11.35677
404,0.7112527,0.4399414,7.434338
405,1.048223,0.02001953,8.067639
406,0.0252279,0.9799805,5.045783
407,0.406352,8.240112,9.402183
408,1.425854,0.4399414,8.40132
409,1.425854,0.4399414,8.40132
410,0.5927685,1.140015,6.421873
411,1.921947,3.719971,13.15048
412,0.3904133,3.439941,9.435119
413,0.3146031,0.9000244,14.3513
414,0.0192619,1.339966,5.977856
415,1.246114,9.300049,9.251727
416,0.07376182,0.02001953,7.650136
417,0.3957519,0.8399658,9.216942
418,1.914088,3.76001,12.34947
419,1.697341,4.599976,7.564636
420,0.1791703,1.160034,6.189654
421,0.1512276,8.280029,10.29665
422,1.209637,0.3599854,11.01903
423,0.8199019,1.400024,10.95725
424,1.298348,0.7600098,12.3289
425,1.026118,2.040039,5.867669
426,0.148175,0.07995605,6.626576
427,0.2407143,2.800049,10.83196
428,0.1013809,0.1799316,6.310035
429,0.4841607,1.839966,11.71848
430,0.1976062,7.97998,10.97823
431,1.071008,0.4000244,11.05078
432,1.053252,0.02001953,6.039886
433,0.7935541,0.8000488,6.604548
434,1.379197,3.76001,9.972371
435,0.1950017,3.319946,10.20394
436,1.331393,0.5200195,14.41805
437,0.1308058,1.420044,5.560246
438,1.330161,0.7199707,13.71392
439,1.471164,2.120117,7.164159
440,2.911381,0.3000488,11.17307
441,0.08122098,2.02002,11.57951
442,0.966822,0.5600586,9.760955
443,0.2500607,0.02001953,11.14643
444,1.826659,0.8800049,14.35146
445,0.05913347,4.200073,5.81816
446,0.3310227,0.02001953,10.5402
447,0.08458948,2.23999,12.57541
448,2.015,0.6800537,10.67834
449,0.9821452,1.160034,9.062474
450,0.1258371,7.920044,13.20436
451,0.497423,1.619995,6.070177
452,0.6211483,1.079956,13.70475
453,0.3095356,4.73999,8.252792
454,1.010343,3.659912,6.709785
455,0.8579903,1.719971,14.97618
456,1.681074,9.399902,7.039923
457,0.04852796,1.459961,10.29915
458,1.082753,0.6600342,10.58314
459,0.4385801,2.859985,9.645046
460,0.5922026,0.01989746,8.465406
461,0.202123,2.140015,11.63842
462,1.106517,0.3800049,6.028593
463,1.106517,0.3800049,6.028593
464,0.5088047,1.439941,9.805467
465,0.2867189,4.419922,6.634142
466,0.2628133,2.939941,13.55183
467,1.583194,0.3999023,8.113788
468,1.855804,1.26001,13.34358
469,0.2549958,7.980103,11.0459
470,0.4505645,0.3199463,10.93509
471,1.028379,0.02001953,11.27043
472,0.4443994,1.079956,10.43136
473,1.647761,9.419922,6.917831
474,0.5935912,1.359985,14.29753
475,1.064396,0.7800293,9.630109
476,0.1325899,3.219971,10.63271
477,0.4358267,4.280029,9.614354
478,0.4126253,1.140015,10.37142
479,1.564584,9.52002,5.100815
480,1.564584,9.52002,5.100815
481,0.3101676,1.060059,7.252412
482,0.5646182,5,13.18248
483,0.08142692,2.399902,10.4008
484,0.6722152,0.5,11.16774
485,1.055,0.02001953,11.89384
486,0.923536,0.9599609,13.29521
487,0.2440721,4.440063,6.27602
488,0.5798333,0.01989746,6.054722
489,0.2672665,3.300049,14.48721
490,0.3210509,0.02001953,8.6556
491,0.5214858,1.139893,14.25599
492,0.4836036,7.97998,9.035283
493,0.6369801,0.3800049,5.036937
494,1.311408,0.02001953,12.60293
495,1.311408,0.02001953,12.60293
496,2.168779,0.6199951,14.65896
497,1.345732,9.219971,7.075824
498,0.525381,1.47998,11.02863
499,1.069547,0.8399658,12.05085
500,0.2586934,2.839966,5.81368
501,0.3056821,2.859985,14.48747
502,1.942466,0.5,10.66493
503,0.04106537,1.26001,5.427312
504,1.075802,0.8599854,12.46858
505,0.1496021,6.380005,10.26274
506,0.916411,0.5600586,8.125029
507,0.06971645,1.780029,8.699262
508,0.5924402,4.600098,11.47712
509,2.102237,0.01989746,12.16109
510,1.168337,2.779907,6.892784
511,0.7316559,0.02001953,6.782226
512,0.6314604,1,12.8497
513,0.7773186,4.76001,12.19502
514,1.459138,3.659912,9.090988
515,0.5333697,1.459961,13.3257
516,1.072787,0.9000244,9.174917
517,0.4880541,6.47998,12.00136
518,0.9432958,0.1800537,9.456588
519,0.3127608,10.56006,13.2131
520,0.7000715,0.5799561,8.375516
521,0.1216604,0.01989746,7.221413
522,0.2314234,1.139893,10.12428
523,0.07469636,5.119995,8.709642
524,0.9970399,3.280029,7.457513
525,1.103731,0.04003906,13.53533
526,0.4169773,0.7401123,12.50903
527,0.6064633,4.880005,6.989879
528,1.264983,3.719971,6.314831
529,0.8506513,0.02001953,9.461655
530,0.4986782,0.8800049,13.16347
531,0.8903607,0.7199707,9.311553
532,2.470397,7.840088,9.781526
533,0.3790941,0.02001953,11.32658
534,2.673821,3.240112,14.97407
535,0.536736,0.02001953,7.296678
536,1.427336,0.4200439,7.809077
537,1.04039,0.7800293,11.87959
538,0.2291068,3.619995,6.595561
539,2.000539,3.47998,9.993584
540,0.1755157,7.280029,5.202047
541,0.1575729,12.07996,7.09618
542,2.018117,3.47998,7.258162
