Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,0.701,2612.874,11.721,10247,0.941
SaverLearning,0.751,2626.395,12.031,10246,0.941
SaverLearning,0.695,2639.634,11.820,10246,0.942
SaverLearning,0.698,2652.709,11.667,10264,0.942
SaverLearning,0.706,2665.835,11.712,10256,0.942
SaverLearning,0.712,2679.091,11.821,10244,0.943
SaverLearning,0.710,2692.331,11.808,10246,0.943
SaverLearning,0.697,2705.494,11.735,10249,0.943
SaverLearning,0.700,2718.919,11.990,10245,0.943
SaverLearning,0.705,2732.322,11.948,10258,0.944
SaverLearning,0.702,2745.538,11.782,10241,0.944
SaverLearning,0.701,2758.632,11.667,10245,0.944
SaverLearning,0.688,2772.046,11.984,10252,0.945
SaverLearning,0.706,2785.590,12.095,10243,0.945
SaverLearning,0.701,2799.089,12.060,10247,0.945
SaverLearning,0.698,2812.414,11.888,10260,0.945
SaverLearning,0.701,2825.334,11.495,10248,0.946
SaverLearning,0.715,2838.324,11.546,10242,0.946
SaverLearning,0.755,2851.692,11.831,10250,0.946
SaverLearning,0.704,2864.788,11.655,10254,0.946
SaverLearning,0.697,2877.854,11.656,10243,0.947
SaverLearning,0.722,2891.262,11.963,10243,0.947
SaverLearning,0.701,2904.486,11.807,10261,0.947
SaverLearning,0.698,2918.032,12.098,10243,0.947
SaverLearning,0.697,2931.415,11.947,10245,0.948
SaverLearning,0.712,2944.741,11.874,10250,0.948
SaverLearning,0.759,2958.177,11.907,10247,0.948
SaverLearning,0.702,2971.898,12.164,10255,0.948
SaverLearning,0.706,2984.998,11.659,10252,0.949
SaverLearning,0.723,2998.321,11.865,10256,0.949
SaverLearning,0.708,3011.754,11.991,10243,0.949
SaverLearning,0.695,3025.637,12.440,10244,0.949
SaverLearning,0.703,3039.169,12.074,10252,0.949
SaverLearning,0.699,3052.511,11.908,10244,0.950
SaverLearning,0.700,3065.833,11.867,10250,0.950
SaverLearning,0.701,3079.040,11.755,10244,0.950
SaverLearning,0.710,3092.377,11.872,10244,0.950
SaverLearning,0.694,3105.629,11.835,10244,0.951
SaverLearning,0.723,3118.893,11.799,10252,0.951
SaverLearning,0.710,3132.161,11.831,10243,0.951
SaverLearning,0.712,3145.331,11.740,10250,0.951
SaverLearning,0.703,3158.603,11.840,10246,0.951
SaverLearning,0.698,3171.984,11.931,10248,0.952
SaverLearning,0.696,3185.153,11.714,10245,0.952
SaverLearning,0.714,3198.544,11.916,10241,0.952
SaverLearning,0.701,3211.806,11.837,10248,0.952
SaverLearning,0.729,3224.861,11.606,10256,0.952
SaverLearning,0.714,3237.994,11.671,10245,0.953
SaverLearning,0.697,3251.140,11.717,10244,0.953
SaverLearning,0.694,3264.441,11.875,10248,0.953
SaverLearning,0.697,3277.742,11.862,10244,0.953
SaverLearning,0.698,3291.125,11.948,10241,0.953
SaverLearning,0.692,3304.138,11.594,10245,0.954
SaverLearning,0.719,3317.436,11.832,10249,0.954
SaverLearning,0.702,3330.742,11.853,10245,0.954
SaverLearning,0.738,3344.026,11.803,10241,0.954
SaverLearning,0.701,3357.402,11.943,10244,0.954
SaverLearning,0.705,3370.824,11.963,10245,0.955
SaverLearning,0.714,3383.864,11.585,10251,0.955
SaverLearning,0.700,3397.155,11.825,10244,0.955
SaverLearning,0.693,3410.340,11.721,10246,0.955
SaverLearning,0.706,3423.785,11.985,10250,0.955
SaverLearning,0.704,3436.802,11.601,10249,0.955
SaverLearning,0.695,3449.821,11.616,10247,0.956
SaverLearning,0.696,3463.214,11.964,10258,0.956
SaverLearning,0.701,3476.498,11.842,10249,0.956
SaverLearning,0.695,3489.787,11.850,10251,0.956
SaverLearning,0.715,3503.090,11.839,10254,0.956
SaverLearning,0.702,3516.268,11.723,10252,0.956
SaverLearning,0.703,3529.607,11.874,10249,0.957
SaverLearning,0.722,3542.874,11.801,10247,0.957
SaverLearning,0.714,3556.062,11.733,10246,0.957
SaverLearning,0.700,3569.407,11.899,10251,0.957
SaverLearning,0.712,3582.856,11.979,10243,0.957
SaverLearning,0.690,3596.356,12.047,10243,0.957
SaverLearning,0.713,3609.683,11.850,10246,0.958
SaverLearning,0.696,3623.002,11.853,10241,0.958
SaverLearning,0.703,3636.303,11.824,10243,0.958
SaverLearning,0.711,3649.791,12.004,10252,0.958
SaverLearning,0.743,3663.167,11.883,10254,0.958
SaverLearning,0.700,3676.292,11.707,10245,0.958
SaverLearning,0.701,3689.594,11.843,10263,0.958
SaverLearning,0.704,3703.140,12.079,10257,0.959
SaverLearning,0.705,3716.398,11.798,10244,0.959
SaverLearning,0.698,3729.884,11.918,10252,0.959
SaverLearning,0.710,3743.098,11.749,10241,0.959
SaverLearning,0.696,3756.375,11.809,10261,0.959
SaverLearning,0.704,3769.947,12.076,10245,0.959
SaverLearning,0.709,3783.529,12.101,10245,0.960
SaverLearning,0.695,3796.908,11.936,10256,0.960
SaverLearning,0.689,3810.206,11.878,10248,0.960
SaverLearning,0.733,3823.583,11.893,10248,0.960
SaverLearning,0.693,3836.713,11.683,10252,0.960
SaverLearning,0.708,3850.046,11.869,10246,0.960
SaverLearning,0.745,3863.567,12.022,10249,0.960
SaverLearning,0.735,3877.161,12.076,10254,0.960
SaverLearning,0.711,3890.357,11.731,10248,0.961
SaverLearning,0.719,3903.594,11.775,10241,0.961
SaverLearning,0.703,3916.834,11.802,10255,0.961
SaverLearning,0.698,3930.269,11.979,10241,0.961
SaverLearning,0.710,3943.376,11.645,10243,0.961
SaverLearning,0.699,3956.745,11.915,10241,0.961
SaverLearning,0.699,3969.883,11.680,10252,0.961
SaverLearning,0.692,3983.152,11.821,10251,0.962
SaverLearning,0.706,3996.411,11.800,10254,0.962
SaverLearning,0.701,4009.554,11.697,10249,0.962
SaverLearning,0.694,4022.651,11.666,10249,0.962
SaverLearning,0.707,4035.860,11.744,10245,0.962
SaverLearning,0.708,4049.130,11.804,10243,0.962
SaverLearning,0.701,4062.258,11.681,10243,0.962
SaverLearning,0.711,4075.461,11.730,10247,0.962
SaverLearning,0.703,4088.636,11.698,10241,0.963
SaverLearning,0.705,4101.808,11.693,10246,0.963
SaverLearning,0.698,4114.999,11.714,10253,0.963
SaverLearning,0.704,4128.148,11.697,10251,0.963
SaverLearning,0.695,4141.416,11.819,10245,0.963
SaverLearning,0.735,4154.823,11.918,10250,0.963
SaverLearning,0.697,4168.144,11.878,10246,0.963
SaverLearning,0.706,4181.433,11.836,10244,0.963
SaverLearning,0.701,4194.731,11.847,10247,0.963
SaverLearning,0.713,4208.080,11.879,10247,0.964
SaverLearning,0.732,4221.451,11.878,10244,0.964
SaverLearning,0.709,4234.751,11.831,10245,0.964
SaverLearning,0.705,4247.977,11.756,10245,0.964
SaverLearning,0.703,4261.461,12.029,10241,0.964
SaverLearning,0.743,4274.952,11.998,10244,0.964
SaverLearning,0.750,4288.321,11.861,10248,0.964
SaverLearning,0.689,4301.552,11.787,10253,0.964
SaverLearning,0.711,4314.907,11.874,10245,0.964
SaverLearning,0.706,4328.209,11.823,10248,0.965
SaverLearning,0.689,4341.483,11.826,10242,0.965
SaverLearning,0.703,4354.730,11.776,10245,0.965
SaverLearning,0.712,4368.321,12.095,10246,0.965
SaverLearning,0.699,4381.783,11.993,10249,0.965
SaverLearning,0.704,4395.197,11.951,10253,0.965
SaverLearning,0.688,4408.735,12.088,10246,0.965
SaverLearning,0.701,4422.486,12.272,10241,0.965
SaverLearning,0.725,4436.054,12.064,10241,0.965
SaverLearning,0.717,4449.956,12.404,10247,0.966
SaverLearning,0.718,4463.143,11.699,10263,0.966
SaverLearning,0.700,4476.336,11.617,10248,0.966
SaverLearning,0.700,4489.446,11.653,10241,0.966
SaverLearning,0.705,4502.821,11.923,10250,0.966
SaverLearning,0.711,4516.050,11.752,10241,0.966
SaverLearning,0.709,4529.192,11.674,10251,0.966
SaverLearning,0.708,4542.466,11.798,10257,0.966
SaverLearning,0.719,4555.507,11.560,10250,0.966
SaverLearning,0.705,4568.854,11.870,10245,0.966
SaverLearning,0.703,4581.999,11.679,10254,0.967
SaverLearning,0.706,4595.104,11.640,10241,0.967
SaverLearning,0.700,4608.327,11.771,10248,0.967
SaverLearning,0.698,4621.468,11.695,10248,0.967
SaverLearning,0.786,4634.752,11.745,10256,0.967
SaverLearning,0.708,4647.796,11.581,10246,0.967
SaverLearning,0.731,4661.083,11.785,10251,0.967
SaverLearning,0.721,4674.526,11.938,10247,0.967
SaverLearning,0.719,4687.685,11.674,10242,0.967
