Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,0.674,3539.218,16.160,10242,0.972
SaverLearning,0.712,3556.351,15.251,10252,0.972
SaverLearning,0.697,3573.501,15.259,10244,0.972
SaverLearning,0.718,3590.479,15.057,10242,0.973
SaverLearning,0.688,3607.557,15.182,10243,0.973
SaverLearning,0.688,3624.491,15.077,10246,0.973
SaverLearning,0.698,3641.772,15.367,10244,0.973
SaverLearning,0.720,3658.660,14.937,10248,0.973
SaverLearning,0.707,3675.750,15.203,10247,0.973
SaverLearning,0.707,3692.768,15.112,10242,0.973
SaverLearning,0.708,3709.987,15.295,10252,0.973
SaverLearning,0.696,3726.829,14.987,10249,0.974
SaverLearning,0.706,3743.831,15.103,10249,0.974
SaverLearning,0.702,3760.891,15.151,10246,0.974
SaverLearning,0.702,3777.956,15.172,10244,0.974
SaverLearning,0.704,3794.993,15.154,10244,0.974
SaverLearning,0.689,3812.024,15.128,10241,0.974
SaverLearning,0.730,3829.010,15.065,10247,0.974
SaverLearning,0.704,3846.094,15.185,10250,0.974
SaverLearning,0.697,3863.657,15.582,10241,0.974
SaverLearning,0.701,3881.641,15.844,10247,0.975
SaverLearning,0.732,3898.798,15.228,10244,0.975
SaverLearning,0.697,3915.746,15.015,10245,0.975
SaverLearning,0.696,3932.516,14.885,10244,0.975
SaverLearning,0.698,3949.431,15.035,10243,0.975
SaverLearning,0.740,3966.476,15.109,10246,0.975
SaverLearning,0.711,3983.639,15.225,10247,0.975
SaverLearning,0.697,4002.290,16.564,10251,0.975
SaverLearning,0.688,4021.619,17.205,10246,0.975
SaverLearning,0.710,4041.642,17.750,10243,0.976
SaverLearning,0.684,4060.630,16.889,10241,0.976
SaverLearning,0.696,4081.005,18.197,10248,0.976
SaverLearning,0.706,4101.575,18.353,10247,0.976
SaverLearning,0.681,4121.625,17.966,10242,0.976
SaverLearning,0.685,4141.672,17.895,10245,0.976
SaverLearning,0.710,4160.580,16.893,10251,0.976
SaverLearning,0.756,4179.218,16.607,10242,0.976
SaverLearning,0.704,4197.887,16.698,10247,0.976
SaverLearning,0.689,4217.366,17.447,10246,0.976
SaverLearning,0.700,4236.258,16.877,10243,0.976
SaverLearning,0.687,4254.747,16.526,10248,0.977
SaverLearning,0.693,4273.955,17.183,10247,0.977
SaverLearning,0.687,4292.781,16.829,10246,0.977
SaverLearning,0.719,4312.605,17.714,10245,0.977
SaverLearning,0.724,4332.031,17.377,10252,0.977
SaverLearning,0.702,4351.478,17.349,10250,0.977
SaverLearning,0.772,4370.998,17.420,10247,0.977
SaverLearning,0.737,4390.186,17.099,10249,0.977
SaverLearning,0.687,4409.523,17.263,10245,0.977
SaverLearning,0.687,4429.382,17.806,10247,0.977
SaverLearning,0.697,4450.083,18.504,10244,0.977
SaverLearning,0.691,4469.975,17.886,10241,0.978
SaverLearning,0.688,4488.643,16.726,10254,0.978
SaverLearning,0.691,4506.511,15.965,10246,0.978
SaverLearning,0.701,4524.468,16.046,10246,0.978
SaverLearning,0.691,4543.966,17.521,10244,0.978
SaverLearning,0.686,4564.251,18.278,10246,0.978
SaverLearning,0.696,4584.043,17.766,10244,0.978
SaverLearning,0.696,4603.536,17.335,10247,0.978
SaverLearning,0.683,4622.780,17.332,10242,0.978
SaverLearning,0.709,4641.987,17.187,10241,0.978
SaverLearning,0.696,4661.803,17.742,10247,0.978
SaverLearning,0.741,4681.100,17.221,10243,0.978
SaverLearning,0.692,4701.205,18.064,10243,0.979
SaverLearning,0.701,4720.354,17.093,10242,0.979
SaverLearning,0.687,4740.362,17.955,10244,0.979
SaverLearning,0.690,4759.635,17.268,10244,0.979
SaverLearning,0.730,4778.730,17.046,10247,0.979
SaverLearning,0.695,4797.263,16.590,10253,0.979
SaverLearning,0.685,4817.039,17.778,10245,0.979
SaverLearning,0.681,4836.274,17.267,10241,0.979
SaverLearning,0.713,4855.372,17.081,10248,0.979
SaverLearning,0.706,4874.191,16.820,10245,0.979
SaverLearning,0.714,4894.888,18.493,10241,0.979
SaverLearning,0.716,4915.706,18.553,10245,0.979
SaverLearning,0.701,4937.311,19.356,10246,0.979
SaverLearning,0.689,4958.088,18.530,10245,0.980
SaverLearning,0.696,4978.877,18.492,10245,0.980
SaverLearning,0.696,4999.126,18.049,10244,0.980
SaverLearning,0.753,5019.165,17.779,10244,0.980
SaverLearning,0.689,5039.268,17.890,10241,0.980
SaverLearning,0.738,5059.751,18.241,10260,0.980
SaverLearning,0.691,5082.391,20.369,10243,0.980
SaverLearning,0.694,5104.158,19.551,10256,0.980
SaverLearning,0.716,5125.700,19.284,10244,0.980
SaverLearning,0.719,5147.670,19.743,10243,0.980
SaverLearning,0.720,5169.003,19.117,10245,0.980
SaverLearning,0.742,5190.889,19.579,10242,0.980
SaverLearning,0.690,5212.851,19.693,10244,0.980
SaverLearning,0.702,5235.765,20.541,10243,0.980
SaverLearning,0.753,5258.288,20.095,10248,0.980
SaverLearning,0.687,5280.809,20.214,10243,0.981
SaverLearning,0.682,5302.543,19.482,10244,0.981
SaverLearning,0.699,5324.521,19.724,10243,0.981
SaverLearning,0.703,5345.821,19.019,10248,0.981
SaverLearning,0.693,5366.470,18.495,10245,0.981
SaverLearning,0.693,5387.284,18.616,10245,0.981
SaverLearning,0.685,5410.269,20.465,10241,0.981
SaverLearning,0.695,5432.765,20.127,10241,0.981
SaverLearning,0.700,5454.718,19.608,10252,0.981
SaverLearning,0.694,5475.715,18.768,10249,0.981
SaverLearning,0.722,5497.137,19.177,10245,0.981
SaverLearning,0.684,5518.773,19.408,10247,0.981
SaverLearning,0.732,5539.936,18.907,10244,0.981
SaverLearning,0.699,5561.007,18.856,10244,0.981
SaverLearning,0.720,5582.238,18.988,10249,0.981
SaverLearning,0.701,5603.753,19.278,10247,0.981
SaverLearning,0.697,5625.012,19.079,10246,0.982
SaverLearning,0.692,5645.867,18.692,10242,0.982
SaverLearning,0.687,5667.493,19.408,10250,0.982
SaverLearning,0.709,5688.674,18.958,10242,0.982
SaverLearning,0.698,5709.978,19.055,10243,0.982
SaverLearning,0.700,5731.433,19.213,10241,0.982
SaverLearning,0.691,5752.421,18.744,10242,0.982
SaverLearning,0.701,5773.979,19.311,10247,0.982
SaverLearning,0.697,5795.509,19.260,10247,0.982
SaverLearning,0.709,5817.394,19.616,10247,0.982
SaverLearning,0.723,5838.489,18.884,10248,0.982
SaverLearning,0.695,5859.658,18.980,10241,0.982
SaverLearning,0.701,5881.022,19.099,10243,0.982
SaverLearning,0.707,5901.996,18.751,10244,0.982
SaverLearning,0.714,5923.174,18.939,10247,0.982
SaverLearning,0.699,5943.911,18.523,10243,0.982
SaverLearning,0.694,5965.572,19.417,10246,0.982
SaverLearning,0.697,5986.942,19.141,10241,0.982
SaverLearning,0.702,6007.687,18.528,10243,0.982
SaverLearning,0.686,6029.319,19.339,10245,0.983
SaverLearning,0.692,6049.741,18.244,10252,0.983
SaverLearning,0.700,6071.028,19.043,10243,0.983
SaverLearning,0.697,6092.716,19.469,10247,0.983
SaverLearning,0.701,6113.315,18.394,10253,0.983
SaverLearning,0.702,6133.086,17.557,10241,0.983
SaverLearning,0.696,6153.522,18.256,10248,0.983
SaverLearning,0.687,6174.966,19.261,10241,0.983
SaverLearning,0.715,6195.457,18.305,10244,0.983
SaverLearning,0.689,6215.351,17.622,10241,0.983
SaverLearning,0.707,6236.266,18.727,10242,0.983
SaverLearning,0.689,6258.204,19.672,10241,0.983
SaverLearning,0.697,6280.334,19.885,10241,0.983
SaverLearning,0.697,6301.745,19.180,10241,0.983
SaverLearning,0.704,6324.780,20.740,10241,0.983
SaverLearning,0.686,6346.617,19.564,10242,0.983
SaverLearning,0.695,6367.011,18.288,10252,0.983
SaverLearning,0.687,6387.430,18.323,10242,0.983
SaverLearning,0.722,6407.998,18.408,10242,0.983
SaverLearning,0.700,6427.303,17.273,10245,0.983
SaverLearning,0.712,6447.506,18.122,10246,0.984
SaverLearning,0.729,6467.240,17.637,10242,0.984
SaverLearning,0.717,6487.089,17.802,10249,0.984
SaverLearning,0.697,6506.985,17.820,10242,0.984
SaverLearning,0.732,6526.347,17.317,10244,0.984
SaverLearning,0.702,6545.127,16.819,10247,0.984
SaverLearning,0.694,6564.653,17.514,10241,0.984
SaverLearning,0.698,6583.956,17.259,10245,0.984
SaverLearning,0.721,6603.914,17.890,10243,0.984
SaverLearning,0.694,6623.910,17.917,10242,0.984
SaverLearning,0.709,6644.142,18.074,10248,0.984
SaverLearning,0.711,6663.738,17.523,10249,0.984
SaverLearning,0.698,6683.793,18.044,10251,0.984
SaverLearning,0.700,6704.586,18.685,10251,0.984
SaverLearning,0.705,6724.697,17.999,10242,0.984
SaverLearning,0.712,6744.139,17.416,10249,0.984
SaverLearning,0.697,6763.868,17.668,10243,0.984
SaverLearning,0.690,6784.128,18.175,10247,0.984
SaverLearning,0.690,6803.303,17.183,10243,0.984
SaverLearning,0.705,6824.089,18.614,10249,0.984
SaverLearning,0.713,6843.810,17.600,10244,0.984
SaverLearning,0.702,6863.458,17.575,10246,0.984
SaverLearning,0.722,6883.637,18.047,10243,0.984
SaverLearning,0.698,6901.053,15.584,10245,0.984
SaverLearning,0.686,6918.805,15.948,10243,0.985
SaverLearning,0.685,6936.736,16.119,10251,0.985
SaverLearning,0.688,6954.855,16.285,10243,0.985
