Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,3.072,1058.033,1.783,164,0.733
SaverLearning,3.025,1063.251,2.103,161,0.734
SaverLearning,3.010,1068.175,1.838,162,0.734
SaverLearning,3.033,1073.364,2.066,162,0.734
SaverLearning,3.038,1078.193,1.714,161,0.734
SaverLearning,3.038,1083.187,1.872,162,0.735
SaverLearning,2.983,1088.044,1.796,162,0.735
SaverLearning,3.074,1093.164,1.953,161,0.736
SaverLearning,2.972,1098.162,1.937,161,0.737
SaverLearning,3.047,1103.204,1.913,161,0.737
SaverLearning,3.045,1108.309,1.974,162,0.738
SaverLearning,3.036,1113.308,1.884,161,0.738
SaverLearning,3.037,1118.329,1.900,161,0.739
SaverLearning,3.069,1123.436,1.948,162,0.739
SaverLearning,3.031,1128.405,1.858,161,0.740
SaverLearning,2.962,1132.987,1.548,161,0.740
SaverLearning,2.960,1137.909,1.877,161,0.741
SaverLearning,3.001,1142.743,1.749,162,0.741
SaverLearning,3.044,1147.695,1.827,161,0.742
SaverLearning,3.000,1152.704,1.926,161,0.742
SaverLearning,2.963,1157.682,1.925,161,0.742
SaverLearning,3.073,1162.728,1.888,162,0.743
SaverLearning,3.038,1167.507,1.666,161,0.744
SaverLearning,3.034,1172.511,1.882,165,0.744
SaverLearning,3.014,1177.488,1.878,161,0.745
SaverLearning,2.995,1182.327,1.761,164,0.745
SaverLearning,2.966,1187.215,1.835,162,0.746
SaverLearning,3.050,1192.166,1.823,161,0.746
SaverLearning,2.999,1197.074,1.829,162,0.747
SaverLearning,3.007,1201.951,1.793,163,0.747
SaverLearning,2.988,1207.120,2.087,161,0.747
SaverLearning,3.018,1212.347,2.115,164,0.748
SaverLearning,2.990,1217.269,1.849,161,0.749
SaverLearning,3.010,1222.235,1.872,162,0.749
SaverLearning,3.051,1227.233,1.861,163,0.749
SaverLearning,3.011,1232.176,1.847,162,0.750
SaverLearning,3.064,1237.169,1.849,161,0.750
SaverLearning,3.057,1242.408,2.083,162,0.751
SaverLearning,3.054,1247.225,1.691,161,0.751
SaverLearning,3.012,1252.228,1.908,162,0.752
SaverLearning,3.056,1257.263,1.890,161,0.752
SaverLearning,3.048,1262.152,1.763,161,0.753
SaverLearning,3.038,1267.250,1.970,161,0.753
SaverLearning,3.080,1272.080,1.675,162,0.753
SaverLearning,3.063,1277.270,2.036,162,0.754
SaverLearning,3.086,1282.352,1.914,161,0.755
SaverLearning,3.031,1287.721,2.245,161,0.755
SaverLearning,3.033,1292.815,1.975,161,0.755
SaverLearning,3.062,1297.743,1.787,161,0.755
SaverLearning,3.087,1302.942,2.023,161,0.756
SaverLearning,3.012,1308.037,1.991,161,0.756
SaverLearning,3.014,1313.226,2.078,161,0.757
SaverLearning,3.012,1318.295,1.967,165,0.757
SaverLearning,3.008,1323.172,1.789,161,0.757
SaverLearning,3.062,1328.282,1.964,161,0.758
SaverLearning,3.055,1333.403,1.982,161,0.758
SaverLearning,3.073,1338.705,2.131,163,0.759
SaverLearning,3.062,1344.163,2.293,163,0.759
SaverLearning,3.042,1349.356,2.063,163,0.760
SaverLearning,3.071,1354.427,1.912,161,0.760
SaverLearning,3.022,1359.451,1.910,161,0.760
SaverLearning,3.061,1364.534,1.940,161,0.761
SaverLearning,3.045,1369.599,1.934,161,0.761
SaverLearning,2.994,1374.912,2.219,162,0.762
SaverLearning,3.086,1380.370,2.270,162,0.762
SaverLearning,3.032,1385.884,2.372,162,0.763
SaverLearning,3.083,1390.996,1.937,161,0.763
SaverLearning,3.069,1396.300,2.140,162,0.764
SaverLearning,2.994,1401.316,1.938,161,0.764
SaverLearning,3.037,1406.167,1.740,162,0.764
SaverLearning,3.081,1411.091,1.764,161,0.765
SaverLearning,2.960,1415.896,1.764,161,0.765
SaverLearning,3.050,1420.875,1.849,162,0.765
SaverLearning,3.013,1425.768,1.796,162,0.766
SaverLearning,3.012,1430.620,1.760,162,0.766
SaverLearning,3.058,1435.537,1.778,161,0.767
SaverLearning,3.055,1440.568,1.893,163,0.767
SaverLearning,3.064,1445.502,1.783,162,0.768
SaverLearning,3.050,1450.599,1.963,161,0.768
SaverLearning,3.041,1455.228,1.524,164,0.769
SaverLearning,3.102,1460.240,1.830,162,0.769
SaverLearning,3.014,1465.156,1.820,161,0.769
SaverLearning,3.018,1469.965,1.714,163,0.769
SaverLearning,3.081,1474.654,1.539,161,0.770
SaverLearning,3.053,1479.434,1.655,161,0.770
SaverLearning,3.038,1484.185,1.638,161,0.771
SaverLearning,2.985,1489.066,1.811,162,0.771
SaverLearning,3.041,1493.774,1.593,162,0.771
SaverLearning,3.081,1498.819,1.885,161,0.772
SaverLearning,2.984,1503.993,2.100,161,0.772
SaverLearning,2.978,1508.608,1.567,162,0.772
SaverLearning,3.070,1513.508,1.755,163,0.773
SaverLearning,3.031,1518.312,1.699,161,0.773
SaverLearning,3.100,1523.610,2.108,161,0.773
SaverLearning,3.049,1528.485,1.749,162,0.774
SaverLearning,3.052,1533.514,1.889,163,0.774
SaverLearning,3.008,1538.527,1.925,164,0.774
SaverLearning,3.124,1543.544,1.812,162,0.774
SaverLearning,3.066,1548.394,1.708,162,0.775
SaverLearning,3.094,1553.460,1.888,161,0.775
SaverLearning,3.096,1558.449,1.812,162,0.775
SaverLearning,3.005,1563.203,1.674,161,0.776
SaverLearning,3.008,1568.120,1.826,161,0.776
SaverLearning,3.024,1573.065,1.837,161,0.776
SaverLearning,3.032,1578.029,1.847,161,0.776
SaverLearning,3.011,1583.222,2.086,164,0.777
SaverLearning,3.044,1588.078,1.737,163,0.777
SaverLearning,3.085,1593.166,1.919,161,0.777
SaverLearning,3.035,1597.991,1.714,162,0.778
SaverLearning,3.034,1602.927,1.820,162,0.778
SaverLearning,3.064,1607.791,1.724,162,0.778
SaverLearning,3.010,1612.587,1.708,162,0.779
SaverLearning,3.001,1617.657,1.977,163,0.779
SaverLearning,3.071,1622.435,1.635,161,0.779
SaverLearning,3.005,1627.262,1.745,161,0.779
